log10_M,HalfMassRadius,pc16,pc84
0.1,9.200294,9.059084,9.341503
0.2,9.1304245,8.985593,9.275256
0.3,9.085036,8.929445,9.240627
0.4,9.049868,8.872072,9.227663
0.5,9.019725,8.788366,9.251083
0.6,8.994919,8.652765,9.337072
0.7,8.973447,8.445702,9.501192
0.8,8.956044,8.156437,9.755651
0.9,8.941185,7.7723665,10.110003
1.0,8.92847,7.2811317,10.575808
1.1,8.917512,6.6697354,11.165289
1.2,8.908339,5.925217,11.89146
1.3,8.900685,5.0341167,12.767254
1.4,8.894556,3.9831233,13.805988
1.5,8.888227,2.7571273,15.019327
1.6,8.882536,1.3435378,16.421534
1.7,8.877377,-0.27120686,18.025959
1.8,8.872761,-2.1005669,19.846088
1.9,8.8688345,-4.1578827,21.895552
2.0,8.864862,-6.4573803,24.187105
2.1,8.86129,-9.012112,26.734692
2.2,8.857712,-11.835987,29.55141
2.3,8.854578,-14.942057,32.651215
2.4,8.851557,-18.344158,36.04727
2.5,8.8489,-22.055548,39.75335
2.6,8.846016,-26.090324,43.782356
2.7,8.843845,-30.461056,48.148746
2.8,8.841145,-35.182487,52.864777
2.9,8.838392,-40.26767,57.94445
