log10_M,HalfMassRadius,pc16,pc84
0.1,1.9969751,1.3740616,2.6198885
0.2,1.948731,1.3952205,2.5022414
0.3,1.9040129,1.0475888,2.760437
0.4,1.8591471,-0.36947727,4.0877714
0.5,1.8118802,-3.2407446,6.864505
0.6,1.7701582,-7.9421353,11.482451
0.7,1.7310277,-14.906046,18.368101
0.8,1.6959697,-24.570992,27.962933
0.9,1.6630664,-37.381668,40.7078
1.0,1.6332154,-53.780872,57.047306
1.1,1.6042844,-74.21476,77.42333
1.2,1.5758752,-99.127914,102.27966
1.3,1.5492615,-128.96333,132.06184
1.4,1.5243067,-164.16542,167.21404
1.5,1.4998682,-205.17969,208.17941
1.6,1.4745768,-252.45183,255.40099
1.7,1.4496359,-306.42496,309.32425
1.8,1.4249412,-367.54358,370.39343
1.9,1.4002161,-436.25223,439.05264
2.0,1.3756214,-512.99524,515.74646
2.1,1.3511597,-598.2169,600.9192
2.2,1.3271941,-692.3611,695.0155
2.3,1.3027378,-795.8735,798.47894
2.4,1.2780912,-909.1978,911.75397
2.5,1.252715,-1032.7792,1035.2845
2.6,1.2277292,-1167.0604,1169.516
2.7,1.20185,-1312.4879,1314.8917
2.8,1.1759384,-1469.5046,1471.8564
2.9,1.1499667,-1638.555,1640.8551
