log10_M,HalfMassRadius,pc16,pc84
0.1,2.6776729,2.3891847,2.966161
0.2,2.5388381,2.2476523,2.830024
0.3,2.4695053,2.1539948,2.7850158
0.4,2.410573,2.067194,2.753952
0.5,2.3504853,1.9808164,2.7201543
0.6,2.2898238,1.8968776,2.68277
0.7,2.2329159,1.8195364,2.6462953
0.8,2.1773462,1.7459373,2.608755
0.9,2.1244752,1.6770774,2.5718732
1.0,2.0745091,1.6129081,2.5361102
1.1,2.0269735,1.5527991,2.5011477
1.2,1.9797075,1.4945145,2.4649005
1.3,1.9327532,1.4380665,2.42744
1.4,1.8862468,1.3835573,2.3889363
1.5,1.8378499,1.328594,2.3471057
1.6,1.7894752,1.275025,2.3039255
1.7,1.7406764,1.2223414,2.2590113
1.8,1.6906488,1.1696875,2.21161
1.9,1.6399431,1.1175753,2.162311
2.0,1.5877738,1.0651937,2.110354
2.1,1.5333395,1.0117302,2.0549488
2.2,1.477024,0.95756865,1.9964793
2.3,1.4188638,0.9027494,1.9349781
2.4,1.3585618,0.8469749,1.8701487
2.5,1.2960441,0.7901602,1.801928
2.6,1.2310848,0.7320497,1.73012
2.7,1.1623902,0.6712921,1.6534884
2.8,1.0916392,0.6094686,1.5738097
2.9,1.0176713,0.54526746,1.4900752
