log10_M,HalfMassRadius,pc16,pc84
0.1,-0.08083236,-0.18518099,0.023516275
0.2,-0.092101865,-0.18796134,0.003757611
0.3,-0.10774491,-0.20016475,-0.015325069
0.4,-0.120825395,-0.2123977,-0.029253095
0.5,-0.1333178,-0.22509524,-0.041540362
0.6,-0.14598244,-0.23829287,-0.05367201
0.7,-0.1589678,-0.25186038,-0.06607519
0.8,-0.17153668,-0.26498193,-0.07809146
0.9,-0.18382788,-0.27779317,-0.089862585
1.0,-0.19524243,-0.2897162,-0.10076866
1.1,-0.20635538,-0.30135387,-0.11135687
1.2,-0.21684542,-0.3124134,-0.12127744
1.3,-0.22707677,-0.3232832,-0.13087033
1.4,-0.23689657,-0.33382657,-0.13996658
1.5,-0.24627075,-0.34401667,-0.14852484
1.6,-0.25546014,-0.3541144,-0.15680589
1.7,-0.26486212,-0.3645126,-0.16521165
1.8,-0.27350986,-0.37423855,-0.17278118
1.9,-0.28233925,-0.38422233,-0.18045616
2.0,-0.29114336,-0.39425176,-0.18803495
2.1,-0.2999248,-0.40432453,-0.19552504
2.2,-0.30872545,-0.41447878,-0.20297211
2.3,-0.31670693,-0.42387372,-0.20954013
2.4,-0.32561982,-0.43425882,-0.21698081
2.5,-0.33397445,-0.44414437,-0.22380455
2.6,-0.34216082,-0.45392162,-0.23040003
2.7,-0.35046908,-0.4638831,-0.23705506
2.8,-0.35882437,-0.47395712,-0.24369161
2.9,-0.36714226,-0.48406357,-0.25022095
