log10_M,HalfMassRadius,pc16,pc84
0.1,9.1305895,8.9963665,9.264812
0.2,9.072629,8.898253,9.2470045
0.3,9.033722,8.551224,9.51622
0.4,9.004931,7.791204,10.218659
0.5,8.982013,6.486971,11.477055
0.6,8.962792,4.4924974,13.433087
0.7,8.946293,1.6591625,16.233423
0.8,8.930655,-2.1634293,20.024738
0.9,8.917186,-7.122781,24.957153
1.0,8.904963,-13.368734,31.17866
1.1,8.893713,-21.05052,38.837944
1.2,8.883375,-30.31719,48.08394
1.3,8.87334,-41.31834,59.06502
1.4,8.86435,-54.202244,71.93095
1.5,8.856007,-69.118286,86.83031
1.6,8.848823,-86.21499,103.912636
1.7,8.841417,-105.642715,123.32555
1.8,8.834854,-127.54947,145.21918
1.9,8.82845,-152.08487,169.74176
2.0,8.822522,-179.39766,197.04271
2.1,8.81686,-209.63707,227.2708
2.2,8.811372,-242.95218,260.57492
2.3,8.806442,-279.49164,297.10455
2.4,8.801163,-319.4054,337.00775
2.5,8.796352,-362.84158,380.4343
2.6,8.791445,-409.94986,427.53275
2.7,8.786908,-460.8787,478.45248
2.8,8.782183,-515.7777,533.34204
2.9,8.77814,-574.7951,592.3514
