log10_M,HalfMassRadius,pc16,pc84
0.1,1.8130412,1.2835059,2.3425765
0.2,1.7861067,1.3312666,2.2409468
0.3,1.7637572,1.3317854,2.195729
0.4,1.7417288,1.2811203,2.2023373
0.5,1.7171679,1.0928667,2.341469
0.6,1.6933736,0.6770996,2.7096477
0.7,1.6676451,-0.012062073,3.3473523
0.8,1.6417804,-1.0060678,4.2896285
0.9,1.6161402,-2.3448277,5.577108
1.0,1.5899942,-4.073881,7.253869
1.1,1.5662081,-6.23722,9.369636
1.2,1.5418844,-8.885531,11.9693
1.3,1.5170395,-12.067036,15.101114
1.4,1.4920535,-15.829815,18.813923
1.5,1.4673774,-20.222015,23.156769
1.6,1.4434458,-25.291874,28.178764
1.7,1.4195583,-31.0888,33.927917
1.8,1.3947499,-37.6625,40.451996
1.9,1.3698612,-45.060898,47.80062
2.0,1.3449634,-53.3327,56.022625
2.1,1.3200057,-62.526733,65.16675
2.2,1.2948446,-72.69193,75.281624
2.3,1.2697576,-83.876816,86.416336
2.4,1.244091,-96.130844,98.61902
2.5,1.2182336,-109.50242,111.93888
2.6,1.191313,-124.04122,126.42385
2.7,1.1647576,-139.79462,142.12415
2.8,1.1381205,-156.81187,159.08812
2.9,1.1116127,-175.14157,177.3648
