log10_M,HalfMassRadius,pc16,pc84
0.1,3.70919,3.419972,3.9984078
0.2,3.4561214,3.1733947,3.7388482
0.3,3.277474,2.9825854,3.5723624
0.4,3.1455789,2.844595,3.4465628
0.5,3.0484128,2.7413695,3.355456
0.6,2.9703186,2.654239,3.2863982
0.7,2.8963218,2.5689833,3.2236602
0.8,2.8233194,2.4847562,3.1618826
0.9,2.7554288,2.407178,3.1036797
1.0,2.6899567,2.3340175,3.0458958
1.1,2.6279087,2.2661576,2.9896598
1.2,2.569018,2.2029781,2.9350576
1.3,2.513155,2.1439602,2.8823497
1.4,2.4587812,2.0872447,2.8303177
1.5,2.405601,2.0323014,2.7789006
1.6,2.355223,1.9805887,2.7298572
1.7,2.305852,1.9302254,2.6814785
1.8,2.2589588,1.8826375,2.6352801
1.9,2.212721,1.8359811,2.589461
2.0,2.1666336,1.7897446,2.5435226
2.1,2.1211672,1.7444022,2.4979322
2.2,2.075634,1.6992798,2.4519882
2.3,2.0307164,1.6550806,2.4063523
2.4,1.9858286,1.6112394,2.3604178
2.5,1.940151,1.5669526,2.3133495
2.6,1.8943189,1.5228645,2.2657735
2.7,1.8473465,1.4779902,2.216703
2.8,1.80035,1.4334387,2.1672614
2.9,1.7534841,1.389349,2.1176193
