log10_M,HalfMassRadius,pc16,pc84
0.1,-0.19528466,-0.33343798,-0.057131335
0.2,-0.19997615,-0.32984793,-0.070104346
0.3,-0.2199073,-0.34959102,-0.090223595
0.4,-0.2384418,-0.37038577,-0.106497824
0.5,-0.2564432,-0.39145234,-0.12143406
0.6,-0.27416688,-0.4122416,-0.13609216
0.7,-0.2920298,-0.4328327,-0.15122691
0.8,-0.30993268,-0.45303,-0.16683538
0.9,-0.3281373,-0.47307238,-0.18320224
1.0,-0.34524792,-0.49157447,-0.19892137
1.1,-0.36191565,-0.5092106,-0.21462068
1.2,-0.37809664,-0.5259658,-0.2302275
1.3,-0.39369136,-0.5417748,-0.24560793
1.4,-0.4087744,-0.5567564,-0.26079246
1.5,-0.42374337,-0.57136196,-0.27612478
1.6,-0.43834594,-0.58539903,-0.29129285
1.7,-0.45250383,-0.59885055,-0.3061571
1.8,-0.4664121,-0.61197007,-0.32085413
1.9,-0.47980314,-0.6245468,-0.33505946
2.0,-0.49278104,-0.6367399,-0.34882218
2.1,-0.5061308,-0.6493864,-0.3628752
2.2,-0.5185361,-0.66121817,-0.37585405
2.3,-0.5309999,-0.6732819,-0.38871792
2.4,-0.5428989,-0.6849934,-0.4008044
2.5,-0.55447876,-0.6966319,-0.41232562
2.6,-0.56587684,-0.7083621,-0.42339158
2.7,-0.57677853,-0.7198905,-0.43366662
2.8,-0.58703935,-0.7310875,-0.4429912
2.9,-0.5973085,-0.7426121,-0.4520049
