r_kpc,mean,median,pc16,pc84
0.029,3.5793476,3.1652203,-inf,3.8508043
0.059,3.1843727,2.777524,-inf,3.477705
0.12,2.9203327,2.5379024,1.2954569,3.2130785
0.24,2.6828563,2.3090346,1.536573,2.988455
0.47,2.4752674,2.13954,1.6358219,2.765148
0.94,2.24487,1.9532526,1.6214318,2.5068831
1.9,2.0080507,1.7659909,1.5297183,2.2332537
3.8,1.7611039,1.5621917,1.3511906,1.9602358
7.5,1.4545498,1.2772334,0.97447217,1.6633086
15.0,0.9746253,0.66629946,0.21371718,1.2404517
30.0,0.29594028,-0.3135193,-0.8911339,0.5795048
60.0,-0.6024291,-1.6230884,-2.2902076,-0.3915699
