r_kpc,mean,median,pc16,pc84
0.029,4.430376,4.3514977,4.182266,4.5577755
0.059,4.0472803,3.9908001,3.8640795,4.1595736
0.12,3.8102996,3.7750735,3.6542923,3.9282932
0.24,3.5991926,3.585906,3.4601674,3.6991267
0.47,3.4129198,3.3992708,3.2784362,3.5014102
0.94,3.1731925,3.160463,3.043648,3.2653646
1.9,2.867226,2.858702,2.7363951,2.957259
3.8,2.4746833,2.4715056,2.3392134,2.571573
7.5,1.8826774,1.8922151,1.7006989,2.0075264
15.0,0.759998,0.7100615,0.33516964,0.9809344
30.0,-0.3459345,-0.4478954,-0.9971967,-0.11421551
60.0,-1.3465576,-1.5398914,-2.3337395,-1.0819523
