log10_M,log10_phi
3.625,-1.073651029053252
3.875,-1.176575371656689
4.125,-1.2984831676081623
4.375,-1.439122024761272
4.625,-1.6061689642119348
4.875,-1.7748210755054699
5.125,-1.9508945476350166
5.375,-2.140479851962536
5.625,-2.3298589641835528
5.875,-2.5258071438269734
6.125,-2.6868244034558266
6.375,-2.8477858988250824
6.625,-2.893917619897413
6.875,-3.02010612566142
7.125,-3.1581742179976136
7.375,-3.2529395625390807
7.625,-3.4050995629872323
7.875,-3.494109675090256
8.125,-3.6767741652986765
8.375,-3.912075589471362
8.625,-4.189367738180557
8.875,-4.82007291095805
9.125,-4.958375609124332
9.375,-5.861465596116275
9.625,-inf
9.875,-inf
