log10_M,log10_phi
-3.375,-3.081586400484928
-3.125,-2.798621985980986
-2.875,-2.4266885360903347
-2.625,-2.0340136081813496
-2.375,-1.7183130932293982
-2.125,-1.5342564527336706
-1.875,-1.432700819212122
-1.625,-1.4332596354797653
-1.375,-1.4900532439764689
-1.125,-1.5842061583329945
-0.875,-1.7051112850048984
-0.625,-1.842376569413004
-0.375,-2.0097988356707566
-0.125,-2.1672290458889285
0.125,-2.288673892870242
0.375,-2.445068761385862
0.625,-2.636216292531737
0.875,-2.890334536338305
1.125,-3.2383817827567274
1.375,-3.657541089962719
1.625,-4.156149371433262
1.875,-4.8073123557705815
