log10_M,log10_phi
7.125,-0.3295028380804972
7.375,-0.522107582893533
7.625,-0.7574362374405889
7.875,-0.9972987645729818
8.125,-1.2065962766477514
8.375,-1.38005163486253
8.625,-1.5373890163767887
8.875,-1.6785376268792827
9.125,-1.8003148151877264
9.375,-1.934454727140624
9.625,-2.031518900174639
9.875,-2.147303550017422
10.125,-2.2466738041598577
10.375,-2.2979845107218644
10.625,-2.419613420342983
10.875,-2.5600015229729753
11.125,-2.7808391091944693
11.375,-3.303958394210617
11.625,-4.198707764434701
11.875,-4.958375609124332
12.125,-inf
12.375,-inf
