log10_M,log10_phi
7.125,-2.345561035100743
7.375,-1.9943555907231387
7.625,-1.6696844868222311
7.875,-1.4976074729799191
8.125,-1.4630021091704244
8.375,-1.4678562823287953
8.625,-1.5056260472090286
8.875,-1.610676063985534
9.125,-1.767242466962121
9.375,-1.9016845289914461
9.625,-2.01059302325064
9.875,-2.104487055070223
10.125,-2.195415857635759
10.375,-2.3262991242296507
10.625,-2.5107339190621194
10.875,-2.7389535153201887
11.125,-3.0589162572693547
11.375,-3.5129582393584133
11.625,-4.189663528746668
11.875,-5.1744720298515965
12.125,-6.615952928302125
12.375,-inf
