r_kpc,mean,median,pc16,pc84
0.029,3.577962,3.1611814,-inf,3.849974
0.059,3.1813138,2.768072,-inf,3.4757872
0.12,2.9146469,2.5219946,0.9742075,3.2097452
0.24,2.6720626,2.28181,1.3637712,2.9827893
0.47,2.4553287,2.096656,1.4928994,2.7547166
0.94,2.2082229,1.8777382,1.4689152,2.4825804
1.9,1.9317974,1.619216,1.2688237,2.1822338
3.8,1.5918617,1.2689322,0.7101271,1.8406957
7.5,1.0789073,0.25495553,-inf,1.363782
15.0,0.25862527,-inf,-inf,-0.19269183
30.0,-1.2847835,-inf,-inf,-inf
60.0,-5.135539,-inf,-inf,-inf
