r_kpc,mean,median,pc16,pc84
0.029,1.0825517,1.1309847,-inf,1.1330245
0.059,1.0306227,1.1095046,-inf,1.1125249
0.12,1.0344985,1.093136,1.0137467,1.0975919
0.24,1.0728576,1.0940976,1.0538563,1.1014901
0.47,1.1272542,1.1139874,1.087564,1.1515538
0.94,1.1529303,1.1083215,1.085044,1.2477461
1.9,1.2149553,1.1969137,1.1177365,1.3103656
3.8,1.2699512,1.2715601,1.1828213,1.3574147
7.5,1.2171736,1.2315123,0.9718309,1.3824934
15.0,0.88187045,0.66629946,0.21371718,1.2263839
30.0,0.28438383,-0.3135193,-0.8911339,0.5795048
60.0,-0.6024418,-1.6230884,-2.2902076,-0.3915699
