log10_M,BulgeFraction,CompFraction,DiskFraction
9.0,0.034249663,0.082319364,0.88343096
9.25,0.023279352,0.037449393,0.9392713
9.5,0.01993311,0.021137124,0.9589298
9.75,0.02396514,0.016088488,0.9599464
10.0,0.025184542,0.016066002,0.9587495
10.25,0.042768274,0.02332815,0.9339036
10.5,0.081416465,0.058716707,0.85986686
10.75,0.16196582,0.11965812,0.71837604
11.0,0.31838006,0.16323988,0.51838005
11.25,0.47543162,0.23771581,0.2868526
11.5,0.7468355,0.16455697,0.088607594
11.75,1.0,0.0,0.0
12.0,1.0,0.0,0.0
