log10_M,BulgeFraction,CompFraction,DiskFraction
9.0,0.13919073,0.058818676,0.80199057
9.25,0.18549284,0.14161818,0.672889
9.5,0.17598793,0.1838539,0.6401582
9.75,0.16391976,0.16353476,0.6725455
10.0,0.17406319,0.10514656,0.72079027
10.25,0.19708852,0.05900388,0.7439076
10.5,0.26393396,0.052984614,0.6830814
10.75,0.3767223,0.09046456,0.53281313
11.0,0.5032953,0.14076278,0.35594192
11.25,0.6232457,0.17626218,0.20049208
11.5,0.741082,0.15782546,0.10109254
11.75,0.8622873,0.08508112,0.05263158
12.0,0.9390863,0.030456852,0.030456852
12.25,0.5,0.0,0.5
