log10_M,log10_phi
3.625,-6.543402261153513
3.875,-5.868470497684934
4.125,-5.20555917793606
4.375,-4.528946344742544
4.625,-3.8756620289529993
4.875,-3.3015206878545476
5.125,-2.8832010597728317
5.375,-2.6061197496935624
5.625,-2.4484972966778673
5.875,-2.404222142484551
6.125,-2.434044408835679
6.375,-2.5026447783837384
6.625,-2.5768796720269322
6.875,-2.711338187621725
7.125,-2.8730422102133875
7.375,-3.02829297573196
7.625,-3.1882160760659417
7.875,-3.365011996441334
8.125,-3.5623856110236845
8.375,-3.7804064731149554
8.625,-4.035287093681932
8.875,-4.351886758681683
9.125,-4.780550637259649
9.375,-5.2937336335682055
9.625,-5.989892660570396
9.875,-6.703103104021025
