log10_M,log10_phi
-3.375,-0.7671587128540283
-3.125,-1.0244393269332244
-2.875,-1.2168005629022463
-2.625,-1.3414932988458232
-2.375,-1.4281759109212493
-2.125,-1.4846514841480778
-1.875,-1.5461041091369399
-1.625,-1.6328086380073399
-1.375,-1.6861857776738909
-1.125,-1.7620612237707327
-0.875,-1.8431812876897442
-0.625,-1.9242988924012425
-0.375,-2.0097181769830113
-0.125,-2.093790372088315
0.125,-2.1810394252581298
0.375,-2.2780400957097684
0.625,-2.4161728266903033
0.875,-2.5952338994263817
1.125,-2.893917619897413
1.375,-3.32743949006014
1.625,-3.9320466704019825
1.875,-4.631016674738001
