log10_M,Metallicity,pc16,pc84
8.0,-1.0385318,-1.2707479,-0.8546475
8.2,-0.8915142,-1.0779451,-0.7467098
8.4,-0.7782334,-0.9343122,-0.6459835
8.6,-0.63069373,-0.7197956,-0.5567987
8.8,-0.5591148,-0.67255825,-0.48477525
9.0,-0.4982101,-0.6499771,-0.41880947
9.200000000000001,-0.43098283,-0.5711547,-0.3520643
9.4,-0.3566311,-0.468814,-0.2831198
9.6,-0.27917916,-0.3706901,-0.2110737
9.8,-0.2012595,-0.27983665,-0.13763338
10.0,-0.12634684,-0.1988477,-0.0681572
10.200000000000001,-0.058514062,-0.12721261,-0.00535362
10.4,4.6592246e-05,-0.06849705,0.049957044
10.6,0.052590296,-0.019551842,0.103598416
10.8,0.100960344,0.020611862,0.154459
11.0,0.14591622,0.05374748,0.20190646
11.200000000000001,0.18941867,0.09318302,0.24412614
11.4,0.22050944,0.13038859,0.27262816
11.600000000000001,0.23072144,0.15173785,0.28352556
11.8,0.21912289,0.1158313,0.2526213
12.000000000000002,0.21181047,0.18383062,0.23359887
